                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                    3.3,                 4.6867,                 4.2507,                0.00173,                0.42762,                0.00199,                0.00067,                 3.1013,                 4.0891,                 4.1174,                  0.073,                  0.003,                  0.003
                      1,                 3.2321,                 4.5979,                 4.1577,                0.00177,                0.42615,                0.00195,                0.00074,                 3.0519,                 4.1055,                 4.0674,                0.04504,              0.0060396,              0.0060396
                      2,                 3.2108,                 4.5363,                  4.077,                0.00165,                0.49097,                0.00433,                0.00122,                 3.0018,                 4.2352,                 4.0063,               0.017018,              0.0090178,              0.0090178
                      3,                 3.1646,                 4.4721,                 3.9897,                 0.0018,                0.50375,                 0.0036,                 0.0011,                 2.9637,                 4.3495,                 3.9597,               0.009703,               0.009703,               0.009703
                      4,                 3.0764,                 4.4476,                 3.8731,                0.00154,                0.21902,                0.00174,                0.00048,                 3.3247,                 6.5786,                 5.0624,               0.009703,               0.009703,               0.009703
                      5,                 3.0675,                 4.3383,                 3.7184,                 0.0023,                0.30841,                 0.0023,                0.00068,                 3.2303,                 4.9747,                 4.2692,               0.009604,               0.009604,               0.009604
                      6,                 2.9553,                 4.3188,                 3.5802,                0.37766,                0.00181,                0.00039,                  9e-05,                 3.6919,                 23.989,                 4.9641,               0.009505,               0.009505,               0.009505
                      7,                 2.8723,                 4.2366,                 3.4518,                0.62821,                0.00978,                0.00137,                0.00033,                 2.9764,                 6.7848,                 3.7835,               0.009406,               0.009406,               0.009406
                      8,                 2.8431,                 4.1312,                 3.3381,                0.63642,                0.05357,                0.01207,                 0.0027,                 2.8153,                 6.7199,                 3.4882,               0.009307,               0.009307,               0.009307
                      9,                 2.8471,                  4.102,                 3.2983,                0.54469,                0.07515,                0.02988,                0.00747,                 2.7306,                 9.6043,                 3.3721,               0.009208,               0.009208,               0.009208
                     10,                  2.717,                 4.0173,                 3.1911,                 0.7653,                0.03587,                0.01786,                0.00443,                 2.7582,                 6.2547,                 3.2591,               0.009109,               0.009109,               0.009109
                     11,                 2.6417,                  3.968,                 3.1268,                0.50939,                0.06629,                0.00741,                0.00208,                 2.7112,                 7.2442,                 3.2074,                0.00901,                0.00901,                0.00901
                     12,                 2.6088,                 3.9468,                 3.0977,                0.65119,                0.03804,                0.02479,                0.00659,                 2.6021,                 4.6642,                 3.1432,               0.008911,               0.008911,               0.008911
                     13,                 2.5125,                 3.8864,                 3.0117,                0.67461,                0.01703,                0.02765,                0.00751,                 2.6212,                 4.1039,                 3.2558,               0.008812,               0.008812,               0.008812
                     14,                 2.5036,                  3.784,                 2.9744,                0.80332,                0.07245,                0.05259,                0.01536,                 2.5257,                  3.597,                 3.0513,               0.008713,               0.008713,               0.008713
                     15,                 2.4356,                 3.7193,                 2.9493,                0.68384,                0.05685,                0.04583,                0.01494,                 2.4824,                  3.848,                   3.03,               0.008614,               0.008614,               0.008614
                     16,                 2.4411,                 3.6901,                 2.9261,                0.58841,                0.05667,                0.03056,                0.00772,                 2.5418,                 4.0037,                 3.0472,               0.008515,               0.008515,               0.008515
                     17,                 2.3865,                 3.5577,                 2.8829,                0.78552,                0.04637,                0.03941,                0.01048,                 2.4966,                  3.714,                 3.0057,               0.008416,               0.008416,               0.008416
                     18,                 2.3575,                 3.4932,                 2.8533,                0.68104,                0.07107,                0.05233,                0.01724,                 2.4392,                 4.2715,                 2.9279,               0.008317,               0.008317,               0.008317
                     19,                 2.3095,                 3.4421,                 2.7966,                0.58567,                0.06521,                0.05862,                0.01968,                 2.4834,                 3.9761,                  2.981,               0.008218,               0.008218,               0.008218
                     20,                  2.218,                  3.358,                  2.745,                0.60207,                0.11584,                0.09587,                 0.0379,                 2.2883,                 3.4559,                 2.8108,               0.008119,               0.008119,               0.008119
                     21,                 2.2222,                 3.3379,                 2.7368,                0.92837,                0.06087,                0.07216,                0.02707,                 2.2599,                 3.7277,                 2.8787,                0.00802,                0.00802,                0.00802
                     22,                 2.1726,                 3.3086,                 2.6598,                0.73891,                0.09587,                0.11151,                0.04767,                 2.1966,                 3.2199,                 2.7814,               0.007921,               0.007921,               0.007921
                     23,                 2.0972,                 3.2505,                 2.6405,                0.45326,                0.13552,                0.08817,                0.03203,                 2.2382,                 3.3064,                 2.8329,               0.007822,               0.007822,               0.007822
                     24,                 2.0926,                 3.1322,                  2.608,                0.76172,                0.10293,                0.09438,                0.03474,                 2.2408,                 3.4902,                 2.8197,               0.007723,               0.007723,               0.007723
                     25,                 2.1245,                 3.1522,                 2.6157,                0.38389,                0.17113,                0.12857,                0.05061,                 2.1476,                 2.9788,                 2.6755,               0.007624,               0.007624,               0.007624
                     26,                 2.0342,                 3.0838,                 2.5329,                0.38597,                0.20327,                 0.1497,                0.06364,                 2.1147,                 2.9621,                 2.6525,               0.007525,               0.007525,               0.007525
                     27,                 2.0381,                   3.03,                 2.5139,                0.32247,                0.17576,                0.11988,                0.04683,                 2.0963,                 3.1148,                 2.6823,               0.007426,               0.007426,               0.007426
                     28,                  2.006,                 2.9936,                 2.5031,                 0.5411,                  0.195,                0.17868,                0.07816,                 2.0499,                 2.8488,                 2.6041,               0.007327,               0.007327,               0.007327
                     29,                 1.9601,                  2.988,                 2.4655,                0.54448,                0.21611,                0.15525,                0.06326,                 2.0973,                 2.9307,                  2.642,               0.007228,               0.007228,               0.007228
                     30,                 1.9734,                 2.9108,                 2.4446,                0.46637,                0.19733,                 0.1848,                0.08039,                 2.0612,                 2.8064,                 2.6038,               0.007129,               0.007129,               0.007129
                     31,                 1.9287,                 2.8872,                 2.4039,                0.54285,                0.21915,                0.19965,                0.09026,                 2.0154,                 2.6792,                 2.5532,                0.00703,                0.00703,                0.00703
                     32,                 1.9477,                 2.8792,                 2.4136,                0.38723,                0.21862,                0.15185,                0.06177,                 2.0352,                 2.8905,                 2.6029,               0.006931,               0.006931,               0.006931
                     33,                 1.9359,                 2.8098,                 2.3873,                0.59803,                0.23998,                0.22982,                0.10738,                 1.9528,                 2.6114,                 2.4815,               0.006832,               0.006832,               0.006832
                     34,                 1.9148,                 2.7797,                 2.3583,                0.35246,                0.26759,                0.21827,                0.10016,                 1.9573,                  2.568,                 2.4849,               0.006733,               0.006733,               0.006733
                     35,                 1.8976,                 2.8053,                 2.3464,                0.47806,                 0.2294,                0.21242,                0.09714,                  1.985,                 2.6655,                  2.545,               0.006634,               0.006634,               0.006634
                     36,                 1.8794,                 2.7074,                 2.3275,                0.47239,                0.22806,                0.22406,                0.09708,                 2.0439,                 2.6867,                 2.6344,               0.006535,               0.006535,               0.006535
                     37,                 1.8525,                 2.6599,                 2.3084,                0.60699,                0.25161,                0.26947,                0.12625,                 1.9077,                 2.4278,                 2.4594,               0.006436,               0.006436,               0.006436
                     38,                 1.8844,                 2.7455,                 2.3233,                0.36242,                0.28891,                0.23351,                0.11359,                  1.902,                 2.4928,                 2.4367,               0.006337,               0.006337,               0.006337
                     39,                  1.853,                 2.6426,                 2.3076,                0.52526,                0.26605,                0.27446,                0.13494,                 1.8643,                  2.356,                 2.3989,               0.006238,               0.006238,               0.006238
                     40,                 1.8536,                 2.6854,                 2.2927,                 0.5812,                0.26034,                0.28284,                0.13264,                 1.8962,                 2.4051,                 2.4306,               0.006139,               0.006139,               0.006139
                     41,                 1.8371,                 2.6338,                 2.2627,                0.48692,                0.27884,                0.28158,                  0.132,                 1.9182,                 2.4413,                 2.4657,                0.00604,                0.00604,                0.00604
                     42,                 1.8265,                  2.554,                 2.2502,                0.39565,                0.30227,                0.24336,                0.11552,                 1.8705,                  2.536,                 2.4093,               0.005941,               0.005941,               0.005941
                     43,                 1.8311,                 2.5827,                 2.2708,                 0.5295,                 0.2774,                0.30753,                0.14883,                 1.8477,                 2.3865,                 2.3815,               0.005842,               0.005842,               0.005842
                     44,                  1.776,                 2.5596,                 2.2264,                0.61253,                 0.2794,                0.31467,                0.15162,                 1.8329,                 2.2758,                  2.393,               0.005743,               0.005743,               0.005743
                     45,                 1.8032,                  2.534,                 2.2551,                0.45644,                  0.342,                0.32159,                0.15776,                 1.8416,                 2.2691,                 2.3778,               0.005644,               0.005644,               0.005644
                     46,                 1.7929,                   2.61,                 2.2649,                0.54804,                0.35767,                0.34842,                 0.1703,                 1.8147,                 2.2502,                 2.3462,               0.005545,               0.005545,               0.005545
                     47,                 1.7733,                 2.4785,                 2.2022,                0.47913,                 0.3873,                0.33138,                0.16857,                 1.7778,                 2.1871,                 2.3019,               0.005446,               0.005446,               0.005446
                     48,                 1.7746,                 2.5268,                 2.2126,                0.60889,                0.36624,                0.38699,                0.19979,                 1.7361,                 2.1462,                 2.2584,               0.005347,               0.005347,               0.005347
