                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                    3.3,                 4.6867,                 4.2507,                0.00173,                0.42762,                0.00199,                0.00067,                 3.1013,                 4.0891,                 4.1174,                  0.073,                  0.003,                  0.003
                      1,                 3.2285,                  4.602,                 4.1629,                0.00179,                0.42831,                0.00209,                0.00074,                 3.0543,                 4.1075,                  4.068,               0.045099,              0.0060988,              0.0060988
                      2,                 3.2294,                 4.5502,                 4.0938,                0.00246,                0.43386,                0.00408,                0.00105,                 3.2133,                  4.483,                 4.5203,               0.017196,              0.0091964,              0.0091964
                      3,                 3.2158,                 4.5049,                  4.025,                0.12501,                0.01146,                  1e-05,                      0,                 4.6419,                    inf,                 67.504,              0.0099941,              0.0099941,              0.0099941
                      4,                  3.137,                 4.4803,                 3.9276,                0.14827,                0.07468,                0.00057,                 0.0001,                  4.233,                    inf,                 28.468,              0.0099941,              0.0099941,              0.0099941
                      5,                 3.1138,                 4.3695,                 3.7691,                0.50389,                0.14268,                0.00127,                0.00045,                 3.4327,                    inf,                 15.999,              0.0099921,              0.0099921,              0.0099921
                      6,                 2.9953,                 4.3491,                 3.5871,                0.00229,                0.22384,                0.00168,                0.00038,                 3.6586,                    inf,                 13.833,              0.0099901,              0.0099901,              0.0099901
                      7,                  2.926,                 4.2803,                 3.4484,                0.63195,                0.02539,                0.00614,                0.00137,                 2.7985,                 4.9922,                 3.4564,              0.0099881,              0.0099881,              0.0099881
                      8,                 2.8748,                 4.1946,                 3.3253,                0.63346,                0.01809,                 0.0047,                 0.0011,                 3.0066,                  12.65,                 4.1247,              0.0099861,              0.0099861,              0.0099861
                      9,                 2.8423,                 4.1816,                 3.2688,                0.76308,                0.02354,                0.00874,                0.00251,                 2.8052,                 4.2499,                 3.5373,              0.0099842,              0.0099842,              0.0099842
                     10,                 2.7418,                 4.0772,                 3.1735,                0.89405,                0.04457,                0.02332,                0.00627,                 2.6479,                  7.056,                 3.2122,              0.0099822,              0.0099822,              0.0099822
                     11,                 2.6961,                 4.0056,                 3.1347,                0.91062,                0.03152,                0.03591,                0.00908,                 2.5527,                 6.3231,                 3.0873,              0.0099802,              0.0099802,              0.0099802
                     12,                 2.6629,                 3.9958,                 3.1035,                 0.7319,                0.03114,                0.02058,                0.00584,                 2.5628,                 4.0185,                 3.1915,              0.0099782,              0.0099782,              0.0099782
